,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
power,0.2,100,0.305,0.306,0.26,0.262,0.241,0.646,0.592814371,0.456,0.468,0.459,0.456,0.449,0.665,0.624,0.282,0.3,0.255,0.256,0.54,0.577677225
pct_trt_diff,0.2,100,0.03972,0.00681,0.00793,0.00307,0.0088,0.00899,0.00911,0.03942,0.00648,0.00774,0.0029,0.00905,0.00897,0.00866,0.04029,0.00638,0.00782,0.00328,0.00927,0.00958
res_end_prop_avg,0.2,100,,,,,0.05968,0.05796,0.05924,,,,,0.05888,0.05806,0.05966,,,,,0.05928,0.05904
ssqr_over_sum,0.2,100,,,,,,0.696504634,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,100,,,,,,0.059788906,,,,,,,,,,,,,,
match_corr,0.2,100,,,,,,0.586509284,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,100,,,,,,0.001388012,,,,,,,,,,,,,,
pct_only_matches,0.2,100,,,,,,0.327,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,200,0.810153105,0.779383528,0.379168847,0.367288038,0.424134773,0.417909495,0.414713045,0.788911835,0.788737892,0.393384556,0.391656903,0.429447287,0.416370275,0.409146762,0.785998378,0.787430869,0.835545246,0.832696267,0.40438204,0.420356871
avg_max_ks_stat,0.05,200,0.120392087,0.117724016,0.086306047,0.084738857,0.077760019,0.078038421,0.077166976,0.117428914,0.117746864,0.087220076,0.086303916,0.078288759,0.078048374,0.0768666,0.118621362,0.11645015,0.118748096,0.119964754,0.076314946,0.07827644
avg_beta_T,0.05,200,1.014774589,0.97656569,0.996673571,1.015841083,1.010786184,0.989556042,,0.989662126,1.011532324,1.004330557,0.999360195,0.984724916,1.000038189,0.987479184,,,,,,
avg_abs_bias,0.05,200,0.400584498,0.416838183,0.298096874,0.303542021,0.279416484,0.216451508,,0.29489241,0.301972652,0.276913821,0.283903075,0.267896868,0.209635192,0.230391961,,,,,,
std_err_beta_T,0.05,200,0.50231747,0.517722541,0.373857264,0.387836295,0.352092901,0.268263976,,0.374391579,0.375907561,0.348926882,0.357336952,0.333634834,0.263126029,0.285300143,,,,,,
power,0.05,200,0.539,0.502,0.525,0.527,0.539,0.966,0.962,0.744,0.757,0.766,0.77,0.756,0.973,0.948,0.533,0.519,0.511,0.537,0.785,0.961
